time_s,moisture_pct,target_pct,pump_state
0,30.6,65,1
1,30.1,65,1
2,28.9,65,1
3,30,65,1
4,30.3,65,1
5,30.2,65,1
6,29.6,65,1
7,30.1,65,1
8,30.7,65,1
9,30.9,65,1
10,30.4,65,1
11,30.2,65,1
12,29.8,65,1
13,30.2,65,1
14,30.7,65,1
15,30.6,65,1
16,31.4,65,1
17,30.5,65,1
18,30.1,65,1
19,31.3,65,1
20,30.5,65,1
21,30.5,65,1
22,29.7,65,1
23,30.5,65,1
24,31.6,65,1
25,31.4,65,1
26,31.4,65,1
27,31.4,65,1
28,30.8,65,1
29,31,65,1
30,31.6,65,1
31,31.7,65,1
32,31.4,65,1
33,31.3,65,1
34,32.6,65,1
35,32.5,65,1
36,32.2,65,1
37,31.6,65,1
38,32.2,65,1
39,32.3,65,1
40,33,65,1
41,32.8,65,1
42,33.1,65,1
43,32.3,65,1
44,33,65,1
45,33.2,65,1
46,33.2,65,1
47,33.5,65,1
48,32.7,65,1
49,34.4,65,1
50,34,65,1
51,33.9,65,1
52,34.9,65,1
53,34.4,65,1
54,33.8,65,1
55,34.5,65,1
56,34.5,65,1
57,34.8,65,1
58,34.2,65,1
59,34.8,65,1
60,34.6,65,1
61,35,65,1
62,35.1,65,1
63,35,65,1
64,35.8,65,1
65,35.6,65,1
66,35.7,65,1
67,35.8,65,1
68,35.8,65,1
69,36.6,65,1
70,36.6,65,1
71,36.8,65,1
72,35.5,65,1
73,36.3,65,1
74,36,65,1
75,36.4,65,1
76,37.4,65,1
77,37.3,65,1
78,37.4,65,1
79,37.6,65,1
80,36.7,65,1
81,36.4,65,1
82,37.7,65,1
83,38,65,1
84,38,65,1
85,38.4,65,1
86,39.1,65,1
87,38.8,65,1
88,37.4,65,1
89,39.1,65,1
90,39.5,65,1
91,38.7,65,1
92,39.4,65,1
93,39.4,65,1
94,39.6,65,1
95,39,65,1
96,39.5,65,1
97,39.8,65,1
98,40.3,65,1
99,39.4,65,1
100,39.9,65,1
101,39.3,65,1
102,39.3,65,1
103,40.4,65,1
104,40.4,65,1
105,41.2,65,1
106,40.8,65,1
107,41.9,65,1
108,40.6,65,1
109,41.9,65,1
110,41.4,65,1
111,41.5,65,1
112,42.1,65,1
113,41.4,65,1
114,41.7,65,1
115,41.9,65,1
116,42.7,65,1
117,41.6,65,1
118,41.9,65,1
119,42.2,65,1
120,43.2,65,1
121,42.6,65,1
122,43.4,65,1
123,42.6,65,1
124,42.8,65,1
125,43.7,65,1
126,43.5,65,1
127,43.9,65,1
128,42.9,65,1
129,44.5,65,1
130,43.9,65,1
131,43.7,65,1
132,43.9,65,1
133,44.1,65,1
134,44.4,65,1
135,44.6,65,1
136,44.3,65,1
137,43.9,65,1
138,46.2,65,1
139,45.8,65,1
