time_s,temperature_c,target_c,heater_pwm,fan_state
0,21,30,38,0
2,21,30,29,0
4,21,30,38,0
6,21,30,47,0
8,21.01,30,56,1
10,21.01,30,65,1
12,21.01,30,74,1
14,21.01,30,83,1
16,21.02,30,92,1
18,21.02,30,101,1
20,21.02,30,110,1
22,21.03,30,119,1
24,21.03,30,128,1
26,21.04,30,136,1
28,21.04,30,145,1
30,21.05,30,154,1
32,21.06,30,163,1
34,21.06,30,167,1
36,21.07,30,167,1
38,21.08,30,167,1
40,21.09,30,167,1
42,21.1,30,167,1
44,21.1,30,167,1
46,21.11,30,167,1
48,21.12,30,167,1
50,21.13,30,167,1
52,21.14,30,167,1
54,21.15,30,167,1
56,21.16,30,167,1
58,21.17,30,167,1
60,21.18,30,167,1
62,21.19,30,167,1
64,21.2,30,167,1
66,21.21,30,167,1
68,21.22,30,167,1
70,21.23,30,167,1
72,21.24,30,167,1
74,21.26,30,167,1
76,21.27,30,167,1
78,21.28,30,167,1
80,21.29,30,167,1
82,21.3,30,167,1
84,21.32,30,167,1
86,21.33,30,167,1
88,21.34,30,167,1
90,21.35,30,167,1
92,21.37,30,167,1
94,21.38,30,167,1
96,21.39,30,167,1
98,21.41,30,167,1
100,21.42,30,167,1
102,21.43,30,167,1
104,21.45,30,167,1
106,21.46,30,167,1
108,21.47,30,167,1
110,21.49,30,167,1
112,21.5,30,167,1
114,21.52,30,166,1
116,21.53,30,166,1
118,21.55,30,166,1
120,21.56,30,166,1
122,21.57,30,166,1
124,21.59,30,166,1
126,21.6,30,166,1
128,21.62,30,166,1
130,21.63,30,166,1
132,21.65,30,166,1
134,21.66,30,166,1
136,21.68,30,166,1
138,21.69,30,166,1
140,21.71,30,166,1
142,21.72,30,166,1
144,21.74,30,166,1
146,21.75,30,166,1
148,21.77,30,166,1
150,21.78,30,166,1
152,21.8,30,166,1
154,21.81,30,166,1
156,21.83,30,166,1
158,21.84,30,166,1
160,21.86,30,166,1
162,21.87,30,166,1
164,21.89,30,166,1
166,21.9,30,166,1
168,21.92,30,166,1
170,21.93,30,166,1
172,21.95,30,166,1
174,21.96,30,166,1
176,21.98,30,166,1
178,21.99,30,166,1
180,22.01,30,165,1
182,22.03,30,165,1
184,22.04,30,165,1
186,22.06,30,165,1
188,22.07,30,165,1
190,22.09,30,165,1
192,22.11,30,165,1
194,22.12,30,165,1
196,22.14,30,165,1
198,22.16,30,165,1
200,22.17,30,165,1
202,22.19,30,165,1
204,22.2,30,165,1
206,22.22,30,165,1
208,22.24,30,165,1
210,22.25,30,165,1
212,22.27,30,165,1
214,22.28,30,165,1
216,22.3,30,165,1
218,22.32,30,165,1
220,22.33,30,165,1
222,22.35,30,165,1
224,22.36,30,165,1
226,22.38,30,165,1
228,22.4,30,165,1
230,22.41,30,165,1
232,22.43,30,165,1
234,22.45,30,165,1
236,22.46,30,165,1
238,22.48,30,165,1
240,22.49,30,165,1
242,22.51,30,164,1
244,22.53,30,164,1
246,22.54,30,164,1
248,22.56,30,164,1
250,22.58,30,164,1
252,22.59,30,164,1
254,22.61,30,164,1
256,22.62,30,164,1
258,22.64,30,164,1
260,22.66,30,164,1
262,22.67,30,164,1
264,22.69,30,164,1
266,22.71,30,164,1
268,22.72,30,164,1
270,22.74,30,164,1
272,22.76,30,164,1
274,22.77,30,164,1
276,22.79,30,164,1
278,22.81,30,164,1
280,22.82,30,164,1
282,22.84,30,164,1
284,22.85,30,164,1
286,22.87,30,164,1
288,22.89,30,164,1
290,22.91,30,164,1
292,22.92,30,164,1
294,22.94,30,164,1
296,22.95,30,164,1
298,22.97,30,164,1
300,22.99,30,164,1
302,23,30,164,1
304,23.02,30,163,1
306,23.04,30,163,1
308,23.05,30,163,1
310,23.07,30,163,1
312,23.09,30,163,1
314,23.1,30,163,1
316,23.12,30,163,1
318,23.14,30,163,1
320,23.15,30,163,1
322,23.17,30,163,1
324,23.19,30,163,1
326,23.2,30,163,1
328,23.22,30,163,1
330,23.23,30,163,1
332,23.25,30,163,1
334,23.27,30,163,1
336,23.28,30,163,1
338,23.3,30,163,1
340,23.32,30,163,1
342,23.34,30,163,1
344,23.35,30,163,1
346,23.37,30,163,1
348,23.39,30,163,1
350,23.4,30,163,1
352,23.42,30,163,1
354,23.44,30,163,1
356,23.45,30,163,1
358,23.47,30,163,1
360,23.49,30,163,1
362,23.5,30,163,1
364,23.52,30,162,1
366,23.53,30,162,1
368,23.55,30,162,1
370,23.57,30,162,1
372,23.58,30,162,1
374,23.6,30,162,1
376,23.62,30,162,1
378,23.63,30,162,1
380,23.65,30,162,1
382,23.67,30,162,1
384,23.68,30,162,1
386,23.7,30,162,1
388,23.72,30,162,1
390,23.73,30,162,1
392,23.75,30,162,1
394,23.77,30,162,1
396,23.78,30,162,1
398,23.8,30,162,1
400,23.82,30,162,1
402,23.83,30,162,1
404,23.85,30,162,1
406,23.87,30,162,1
408,23.88,30,162,1
410,23.9,30,162,1
412,23.92,30,162,1
414,23.93,30,162,1
416,23.95,30,162,1
418,23.97,30,162,1
420,23.98,30,162,1
422,24,30,161,1
424,24.02,30,161,1
426,24.03,30,161,1
428,24.05,30,161,1
430,24.07,30,161,1
432,24.08,30,161,1
434,24.1,30,161,1
436,24.12,30,161,1
438,24.13,30,161,1
440,24.15,30,161,1
442,24.17,30,161,1
444,24.18,30,161,1
