Time,Temp,Target,PWM,FanState,LowerBound,UpperBound
23543,21.06,25,53,1,22.5,27.5
24224,21.06,25,54,1,22.5,27.5
24905,21.06,25,56,1,22.5,27.5
25586,21.06,25,57,1,22.5,27.5
26267,21.06,25,59,1,22.5,27.5
26948,21.06,25,60,1,22.5,27.5
27629,21.06,25,61,1,22.5,27.5
28310,21.06,25,63,1,22.5,27.5
28991,21.06,25,64,1,22.5,27.5
29672,21.06,25,65,1,22.5,27.5
30353,21.12,25,66,1,22.5,27.5
31034,21.12,25,68,1,22.5,27.5
31715,21.12,25,69,1,22.5,27.5
32396,21.12,25,70,1,22.5,27.5
33077,21.12,25,72,1,22.5,27.5
33758,21.12,25,73,1,22.5,27.5
34439,21.12,25,74,1,22.5,27.5
35120,21.12,25,76,1,22.5,27.5
35801,21.19,25,77,1,22.5,27.5
36482,21.12,25,78,1,22.5,27.5
37163,21.19,25,79,1,22.5,27.5
37844,21.19,25,81,1,22.5,27.5
38525,21.19,25,82,1,22.5,27.5
39206,21.19,25,83,1,22.5,27.5
39887,21.19,25,85,1,22.5,27.5
40568,21.19,25,86,1,22.5,27.5
41249,21.19,25,87,1,22.5,27.5
41930,21.19,25,89,1,22.5,27.5
42611,21.19,25,90,1,22.5,27.5
43292,21.25,25,91,1,22.5,27.5
43973,21.25,25,92,1,22.5,27.5
44654,21.19,25,94,1,22.5,27.5
45335,21.25,25,95,1,22.5,27.5
46016,21.25,25,96,1,22.5,27.5
46697,21.25,25,97,1,22.5,27.5
47378,21.25,25,99,1,22.5,27.5
48059,21.25,25,100,1,22.5,27.5
48740,21.25,25,101,1,22.5,27.5
49421,21.25,25,102,1,22.5,27.5
50102,21.25,25,104,1,22.5,27.5
50783,21.25,25,105,1,22.5,27.5
51464,21.25,25,106,1,22.5,27.5
52145,21.25,25,108,1,22.5,27.5
52826,21.25,25,109,1,22.5,27.5
53507,21.25,25,110,1,22.5,27.5
54188,21.25,25,111,1,22.5,27.5
54869,21.25,25,113,1,22.5,27.5
55550,21.25,25,114,1,22.5,27.5
56231,21.25,25,115,1,22.5,27.5
56912,21.31,25,116,1,22.5,27.5
57593,21.31,25,118,1,22.5,27.5
58274,21.31,25,119,1,22.5,27.5
58955,21.31,25,120,1,22.5,27.5
59636,21.31,25,121,1,22.5,27.5
60317,21.31,25,123,1,22.5,27.5
60998,21.31,25,124,1,22.5,27.5
61679,21.31,25,125,1,22.5,27.5
62360,21.31,25,126,1,22.5,27.5
63041,21.31,25,128,1,22.5,27.5
63722,21.31,25,129,1,22.5,27.5
64403,21.31,25,130,1,22.5,27.5
65084,21.31,25,131,1,22.5,27.5
65765,21.31,25,133,1,22.5,27.5
66446,21.31,25,134,1,22.5,27.5
67127,21.31,25,135,1,22.5,27.5
67808,21.31,25,136,1,22.5,27.5
68489,21.31,25,138,1,22.5,27.5
69170,21.37,25,139,1,22.5,27.5
69851,21.37,25,140,1,22.5,27.5
70532,21.37,25,141,1,22.5,27.5
71213,21.37,25,143,1,22.5,27.5
71894,21.37,25,144,1,22.5,27.5
72575,21.37,25,145,1,22.5,27.5
73256,21.37,25,146,1,22.5,27.5
73937,21.37,25,147,1,22.5,27.5
74618,21.37,25,149,1,22.5,27.5
75299,21.37,25,150,1,22.5,27.5
75980,21.37,25,151,1,22.5,27.5
76661,21.37,25,152,1,22.5,27.5
77342,21.44,25,153,1,22.5,27.5
78023,21.37,25,155,1,22.5,27.5
78704,21.37,25,156,1,22.5,27.5
79385,21.44,25,157,1,22.5,27.5
80066,21.44,25,158,1,22.5,27.5
80747,21.44,25,160,1,22.5,27.5
81428,21.44,25,161,1,22.5,27.5
82109,21.44,25,162,1,22.5,27.5
82790,21.44,25,163,1,22.5,27.5
83471,21.44,25,164,1,22.5,27.5
84152,21.44,25,166,1,22.5,27.5
84833,21.44,25,167,1,22.5,27.5
85514,21.44,25,168,1,22.5,27.5
86195,21.44,25,169,1,22.5,27.5
86876,21.44,25,171,1,22.5,27.5
87557,21.5,25,171,1,22.5,27.5
88238,21.5,25,173,1,22.5,27.5
